Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0098586~cellular response to virus	5	7.575757575757576	2.3970407316218452E-4	IFNAR2, IL10RB, IFNGR2, RRP1B, IFNAR1	63	95	19453	16.251461988304094	0.12562888067032352	0.11745451478401031	0.11703503437406743
GOTERM_BP_DIRECT	GO:0009615~response to virus	5	7.575757575757576	4.19480409942894E-4	IFNAR2, IFNGR2, MX2, MX1, IFNAR1	63	110	19453	14.035353535353533	0.2093961933303482	0.11745451478401031	0.11703503437406743
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	12	18.181818181818183	0.0016124841642224659	SETD4, APP, USP16, NRIP1, RRP1B, ERG, PKNOX1, PAXBP1, BACH1, ETS2, GABPA, RUNX1	63	1232	19453	3.0075757575757573	0.5949399474581645	0.2562064047726195	0.2552913818984316
GOTERM_BP_DIRECT	GO:0032930~positive regulation of superoxide anion generation	3	4.545454545454546	0.0018300457483758539	APP, ITGB2, SOD1	63	20	19453	46.31666666666666	0.6414777309640689	0.2562064047726195	0.2552913818984316
GOTERM_BP_DIRECT	GO:0035458~cellular response to interferon-beta	3	4.545454545454546	0.0035816398354750864	IFNAR2, UBE2G2, IFNAR1	63	28	19453	33.083333333333336	0.8659200195173913	0.38312331191302595	0.3817550143704795
GOTERM_BP_DIRECT	GO:0001774~microglial cell activation	3	4.545454545454546	0.004104892627639564	APP, IFNGR2, ITGB2	63	30	19453	30.877777777777776	0.9000885377727769	0.38312331191302595	0.3817550143704795
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	5	7.575757575757576	0.006797078654647253	IFNAR2, IL10RB, IFNGR2, MX2, MX1	63	236	19453	6.541902071563088	0.978058139830234	0.5437662923717802	0.5418242698990239
GOTERM_BP_DIRECT	GO:0019221~cytokine-mediated signaling pathway	4	6.0606060606060606	0.014491527568362328	IFNAR2, IL10RB, IFNGR2, IFNAR1	63	160	19453	7.719444444444444	0.999718289606648	1.0	0.998211091234347
GOTERM_BP_DIRECT	GO:1903223~positive regulation of oxidative stress-induced neuron death	2	3.0303030303030303	0.018973708836729355	TRPM2, APP	63	6	19453	102.92592592592592	0.9999780637681789	1.0	0.998211091234347
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	12	18.181818181818183	0.020216669912677718	APP, USP16, NRIP1, DYRK1A, ERG, PKNOX1, BRWD1, BACH1, ETS2, GABPA, RUNX1, HMGN1	63	1736	19453	2.1344086021505375	0.9999892148585777	1.0	0.998211091234347
GOTERM_BP_DIRECT	GO:1901857~positive regulation of cellular respiration	2	3.0303030303030303	0.02832728972114921	IL10RB, IFNAR1	63	9	19453	68.61728395061728	0.9999998973868213	1.0	0.998211091234347
GOTERM_BP_DIRECT	GO:0006952~defense response	3	4.545454545454546	0.030124116244715712	MX2, MX1, ICOSLG	63	85	19453	10.898039215686275	0.9999999636043114	1.0	0.998211091234347
