Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	15	3.488372093023256	2.2069692213870731E-13	CD74, HLA-DRB5, HLA-B, HLA-C, HLA-A, PSMB8, HLA-E, HLA-DMA, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	407	45	19453	15.93202293202293	5.760592003412057E-10	5.760189667820261E-10	5.669703929743391E-10
GOTERM_BP_DIRECT	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	11	2.558139534883721	2.154580688819185E-12	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-B, HLA-DPB1, HLA-DRA, HLA-A, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	407	20	19453	26.287837837837838	5.623531640353008E-9	2.8117277989090363E-9	2.767558894788243E-9
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	55	12.790697674418606	2.5173276947579673E-10	RB1, BTG2, UBE2D2, ARID4B, HMGB1, RBPJ, NR3C1, N4BP2L2, YBX3, BACH2, ETS2, ELK3, CCND3, MYB, EPC1, LRRFIP1, SOX4, TLE4, TSC22D4, MEF2C, PARP1, ARID5B, PAX5, YWHAZ, EID1, SFPQ, ZEB2, NCOR1, MTF2, EZR, DDX5, RPL10, UHRF1, LEF1, RTF1, AEBP1, IFI16, FNIP1, BPTF, IGBP1, EGR1, JUN, XBP1, JUND, BCL11A, KLF2, CDK6, HNRNPA2B1, PHF14, MDM2, FOSB, ID3, TAF7, MDM4, TCF3	407	1016	19453	2.5873856139604174	6.570222507162882E-7	2.1900750944394314E-7	2.1556716159444062E-7
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	9	2.0930232558139537	6.932254655509782E-10	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	407	17	19453	25.303801127330537	1.8093168588917408E-6	3.67322907526331E-7	3.6155270093300547E-7
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	61	14.186046511627906	7.036837308933544E-10	RB1, SMARCB1, DDX3X, CD81, ZNF292, ARID4B, HMGB1, RBPJ, NR3C1, GABPB1, ETS2, ELK3, SPIB, PPP3CA, GPBP1, MYB, EPC1, HMGN3, SOX4, IER2, GTF2I, DDX17, ACTR2, MEF2C, PARP1, ATRX, FOS, PAX5, SFPQ, ZEB2, THRAP3, MTF2, PHIP, ERG, PTMA, USP16, UHRF1, LEF1, PLAC8, BCLAF1, IFI16, CYTL1, BPTF, MLXIP, EGR1, JUN, XBP1, JUND, JUP, BCL11A, POU2F2, KLF2, KLF6, HNRNPK, APEX1, FOSB, TAF7, TCF4, TCF3, SSBP2, RBMX	407	1232	19453	2.366526133571588	1.836612974370766E-6	3.67322907526331E-7	3.6155270093300547E-7
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	10	2.3255813953488373	1.2613463693529132E-8	CD74, HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	407	32	19453	14.936271498771497	3.29205986167036E-5	5.486856706685173E-6	5.40066470477939E-6
GOTERM_BP_DIRECT	GO:0045321~leukocyte activation	7	1.627906976744186	6.619323195131921E-8	PRDX1, HLA-B, HLA-DPB1, HLA-C, HLA-A, HLA-E, HLA-DQB1	407	12	19453	27.881040131040134	1.7274941835609958E-4	2.468061934184902E-5	2.4292916126134152E-5
GOTERM_BP_DIRECT	GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	6	1.3953488372093024	2.0549479352014635E-7	HLA-B, HLA-DPB1, HLA-C, HLA-A, HLA-E, HLA-DQB1	407	8	19453	35.847051597051596	5.361976608080354E-4	6.704267638594775E-5	6.5989515569157E-5
GOTERM_BP_DIRECT	GO:0050870~positive regulation of T cell activation	9	2.0930232558139537	3.7931456218394687E-7	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	407	34	19453	12.651900563665269	9.895212957150568E-4	1.0821176802658955E-4	1.0651188967827914E-4
GOTERM_BP_DIRECT	GO:0030183~B cell differentiation	13	3.0232558139534884	4.146044751976611E-7	TOP2B, ITGA4, FLT3, PAX5, RBPJ, CD79B, CD79A, KLF6, BLNK, TCF3, SLC25A5, FNIP1, MS4A1	407	91	19453	6.8280098280098285	0.0010815326261404135	1.0821176802658955E-4	1.0651188967827914E-4
GOTERM_BP_DIRECT	GO:0050778~positive regulation of immune response	9	2.0930232558139537	7.635837245596426E-7	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	407	37	19453	11.62607078823295	0.0019909696673057198	1.811775928273334E-4	1.783315080357929E-4
GOTERM_BP_DIRECT	GO:0042113~B cell activation	9	2.0930232558139537	9.49708997242329E-7	IGBP1, LAT2, CD79A, BANK1, PRKCB, BTK, MS4A1, CD22, ICOSLG	407	38	19453	11.320121556963663	0.002475672116409089	2.0656170690020657E-4	2.033168678262953E-4
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	18	4.186046511627907	1.0875084046819197E-6	SRRM2, SF3B2, DDX5, YTHDC1, PNN, HNRNPM, LSM7, HNRNPK, SYF2, TRA2B, HNRNPA2B1, SRSF3, HNRNPC, SRSF5, HNRNPA1, RBMX, SRSF9, SF1	407	200	19453	4.301646191646191	0.002834374035155407	2.1833822586306235E-4	2.149083916636809E-4
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	19	4.4186046511627906	2.839431333339133E-6	RBM39, SF3B2, RBM25, NONO, THOC2, ZFP36L1, PNN, BCLAF1, SFPQ, SON, PABPN1, THRAP3, HNRNPA2B1, PAPOLA, RBBP6, SRSF5, HNRNPA1, HNRNPA0, SRSF9	407	238	19453	3.8156525509466683	0.007383533098677675	5.293511271439383E-4	5.210356496677308E-4
GOTERM_BP_DIRECT	GO:0071277~cellular response to calcium ion	11	2.558139534883721	2.426690179686516E-5	MEF2C, JUN, TUBA1A, JUND, CPNE1, FOSB, DPEP1, FOS, IQGAP1, RASGRP2, ADD1	407	93	19453	5.653298459750073	0.06137325568768792	0.004222440912654538	0.00415611138107644
GOTERM_BP_DIRECT	GO:0050853~B cell receptor signaling pathway	13	3.0232558139534884	3.0868837806065704E-5	BLK, MEF2C, PRKCB, LAT2, CD79B, CD79A, BANK1, IGLL1, CD19, BLNK, IGHD, BTK, MS4A1	407	137	19453	4.535393389407988	0.07740867457310807	0.005035479167114468	0.004956377770236425
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	29	6.744186046511628	5.217843639638107E-5	RB1, LEF1, NR3C1, RBPJ, ELK3, BCLAF1, YWHAQ, BCL7A, IFI16, MYB, EPC1, SMARCE1, TSC22D4, JUN, TLE1, PARP1, XRCC5, NONO, ARID5B, EID1, SFPQ, NCOR1, HNRNPK, APEX1, MDM2, ID3, TAF7, MDM4, SF1	407	591	19453	2.34532317273434	0.12732255663341419	0.007764494456530928	0.007642523470815309
